ensembl	DeepLOF_score
ENSG00000000003	0.43360353
ENSG00000000005	0.46682715
ENSG00000000419	0.6047908
ENSG00000000457	0.68231314
ENSG00000000460	0.40968907
ENSG00000000938	0.75777817
ENSG00000000971	0.7782365
ENSG00000001036	0.3575638
ENSG00000001084	0.78501284
ENSG00000001167	0.832192
ENSG00000001460	0.16271603
ENSG00000001461	0.44724137
ENSG00000001497	0.9437471
ENSG00000001561	0.64918333
ENSG00000001617	0.88469136
ENSG00000001626	0.04414344
ENSG00000001629	0.88547707
ENSG00000001630	0.46023732
ENSG00000001631	0.6961591
ENSG00000002016	0.29433948
ENSG00000002330	0.29206192
ENSG00000002549	0.47019827
ENSG00000002586	0.29631662
ENSG00000002587	0.573336
ENSG00000002726	0.29402578
ENSG00000002745	0.3422358
ENSG00000002746	0.8236953
ENSG00000002822	0.3168543
ENSG00000002834	0.91757303
ENSG00000002919	0.32539105
ENSG00000002933	0.402915
ENSG00000003056	0.60096264
ENSG00000003096	0.7208598
ENSG00000003137	0.8549675
ENSG00000003147	0.6831995
ENSG00000003249	0.37251604
ENSG00000003393	0.59729433
ENSG00000003400	0.15939486
ENSG00000003402	0.913434
ENSG00000003436	0.68554914
ENSG00000003509	0.13596928
ENSG00000003756	0.93372965
ENSG00000003987	0.32790518
ENSG00000003989	0.38804162
ENSG00000004059	0.94327104
ENSG00000004139	0.3521378
ENSG00000004142	0.7206351
ENSG00000004399	0.89832664
ENSG00000004455	0.41695023
ENSG00000004468	0.30624366
ENSG00000004478	0.72248167
ENSG00000004487	0.86626625
ENSG00000004534	0.91148216
ENSG00000004660	0.64988375
ENSG00000004700	0.12155008
ENSG00000004766	0.7674351
ENSG00000004776	0.43973768
ENSG00000004777	0.7221458
ENSG00000004779	0.7103537
ENSG00000004799	0.23423433
ENSG00000004809	0.046916544
ENSG00000004838	0.44038975
ENSG00000004846	0.078220904
ENSG00000004848	0.9286438
ENSG00000004864	0.20760357
ENSG00000004866	0.8671206
ENSG00000004897	0.84574795
ENSG00000004939	0.7796706
ENSG00000004948	0.3076887
ENSG00000004961	0.8671799
ENSG00000004975	0.58138406
ENSG00000005001	0.48407662
ENSG00000005007	0.9248651
ENSG00000005020	0.6580924
ENSG00000005022	0.9558971
ENSG00000005059	0.19752854
ENSG00000005073	0.9191754
ENSG00000005075	0.5185091
ENSG00000005100	0.518999
ENSG00000005102	0.33825815
ENSG00000005108	0.8415463
ENSG00000005156	0.51567304
ENSG00000005175	0.5282947
ENSG00000005187	0.20485687
ENSG00000005189	0.37742782
ENSG00000005194	0.50609475
ENSG00000005238	0.78457016
ENSG00000005243	0.3376363
ENSG00000005249	0.9002192
ENSG00000005302	0.94163674
ENSG00000005339	0.96756905
ENSG00000005379	0.72714823
ENSG00000005381	0.27489924
ENSG00000005421	0.17813557
ENSG00000005436	0.16959012
ENSG00000005448	0.28317058
ENSG00000005469	0.12042391
ENSG00000005471	0.6302842
ENSG00000005483	0.9758781
ENSG00000005486	0.6109851
ENSG00000005513	0.76813954
ENSG00000005700	0.71054065
ENSG00000005801	0.55851376
ENSG00000005810	0.9145636
ENSG00000005812	0.90937716
ENSG00000005844	0.7046349
ENSG00000005882	0.50569135
ENSG00000005884	0.6359583
ENSG00000005889	0.9655926
ENSG00000005893	0.6887386
ENSG00000005955	0.97283846
ENSG00000005961	0.43931758
ENSG00000005981	0.1253221
ENSG00000006007	0.38979125
ENSG00000006015	0.35464603
ENSG00000006016	0.49186838
ENSG00000006025	0.71427405
ENSG00000006042	0.5532533
ENSG00000006047	0.89220744
ENSG00000006059	0.05791509
ENSG00000006071	0.44450086
ENSG00000006074	0.12403852
ENSG00000006075	0.2811746
ENSG00000006114	0.7595619
ENSG00000006116	0.9251726
ENSG00000006118	0.35338813
ENSG00000006125	0.8754484
ENSG00000006128	0.72320765
ENSG00000006194	0.5536692
ENSG00000006210	0.6735408
ENSG00000006282	0.4404521
ENSG00000006283	0.85712063
ENSG00000006327	0.40862054
ENSG00000006377	0.930806
ENSG00000006432	0.7167351
ENSG00000006451	0.9602481
ENSG00000006453	0.55843264
ENSG00000006459	0.8792872
ENSG00000006468	0.8407141
ENSG00000006530	0.29369676
ENSG00000006534	0.44717848
ENSG00000006555	0.24547637
ENSG00000006576	0.68873656
ENSG00000006606	0.12782013
ENSG00000006607	0.12749374
ENSG00000006611	0.2710498
ENSG00000006625	0.24653906
ENSG00000006634	0.8137693
ENSG00000006638	0.2960775
ENSG00000006652	0.64257044
ENSG00000006659	0.11963928
ENSG00000006695	0.53279257
ENSG00000006704	0.7832178
ENSG00000006712	0.6758009
ENSG00000006715	0.38058168
ENSG00000006740	0.8594944
ENSG00000006744	0.2545911
ENSG00000006747	0.08222175
ENSG00000006756	0.5162686
ENSG00000006757	0.25001192
ENSG00000006788	0.18257076
ENSG00000006831	0.81139404
ENSG00000006837	0.19747055
ENSG00000007001	0.358626
ENSG00000007038	0.1982398
ENSG00000007047	0.87312835
ENSG00000007062	0.16452336
ENSG00000007080	0.5272424
ENSG00000007129	0.11344463
ENSG00000007168	0.9779864
ENSG00000007171	0.44616985
ENSG00000007174	0.36157238
ENSG00000007202	0.67672074
ENSG00000007216	0.19311774
ENSG00000007237	0.81537664
ENSG00000007255	0.26580203
ENSG00000007264	0.5309656
ENSG00000007306	0.11504054
ENSG00000007312	0.8518249
ENSG00000007314	0.72484314
ENSG00000007341	0.33677375
ENSG00000007350	0.93148494
ENSG00000007372	0.9446851
ENSG00000007376	0.111150265
ENSG00000007384	0.42741692
ENSG00000007392	0.8121017
ENSG00000007402	0.84826756
ENSG00000007516	0.17304981
ENSG00000007520	0.29854155
ENSG00000007541	0.38324726
ENSG00000007545	0.72992074
ENSG00000007866	0.904799
ENSG00000007908	0.32054985
ENSG00000007923	0.87082404
ENSG00000007933	0.08180797
ENSG00000007944	0.7622051
ENSG00000007952	0.18104684
ENSG00000007968	0.71066344
ENSG00000008018	0.91867507
ENSG00000008056	0.88289374
ENSG00000008083	0.92551696
ENSG00000008086	0.89697415
ENSG00000008118	0.6261797
ENSG00000008128	0.15463579
ENSG00000008130	0.42127442
ENSG00000008196	0.9063724
ENSG00000008197	0.8567267
ENSG00000008226	0.20447075
ENSG00000008256	0.85339797
ENSG00000008277	0.7616755
ENSG00000008282	0.55230075
ENSG00000008283	0.71365553
ENSG00000008294	0.9205957
ENSG00000008300	0.8214649
ENSG00000008311	0.4473778
ENSG00000008323	0.20944297
ENSG00000008324	0.3529669
ENSG00000008382	0.3984747
ENSG00000008394	0.21800244
ENSG00000008405	0.5346739
ENSG00000008438	0.16279209
ENSG00000008441	0.9696757
ENSG00000008513	0.7378312
ENSG00000008516	0.16293645
ENSG00000008517	0.09556031
ENSG00000008710	0.86367667
ENSG00000008735	0.9317646
ENSG00000008838	0.51885664
ENSG00000008853	0.73838764
ENSG00000008869	0.52872443
ENSG00000008952	0.81623393
ENSG00000008988	0.72040516
